WCRNumber,CountyName,WellLocation,Township,Range,Section,MTRS,TotalCompletedDepth,PlannedUseFormerUse,PermitDate,latitude,longitude,coord_source,pdf_latitude,pdf_longitude,gis_latitude,gis_longitude,pdf_path,box_link,gsa_name
WCR2024-011315,Kings,,18S,20E,22,M18S20E22,275.0,Water Supply Irrigation - Agriculture,1722988800000,36.351128,-119.785897,gis,,,36.351128,-119.785897,pdfs/WCR2024-011315.pdf,,South Fork Kings GSA
WCR2024-010445,Kings,20755 Fremont AVE,18S,20E,17,M18S20E17,48.0,Water Supply Irrigation - Agriculture,1715644800000,36.364445,-119.830196,ocr,36.364445,-119.830196,36.364445,-119.830196,pdfs/WCR2024-010445.pdf,,South Fork Kings GSA
WCR2025-004157,Kings,488 BUSH ST,19S,20E,11,M19S20E11,,Other,1735776000000,36.294769,-119.775122,gis,,,36.294769,-119.775122,pdfs/WCR2025-004157.pdf,,South Fork Kings GSA
WCR2025-004159,Kings,488 BUSH ST,19S,20E,11,M19S20E11,,Other,1735776000000,36.296248,-119.774872,gis,,,36.296248,-119.774872,pdfs/WCR2025-004159.pdf,,South Fork Kings GSA
WCR2025-004160,Kings,488 BUSH ST,19S,20E,11,M19S20E11,,Other,1735776000000,36.296294,-119.774927,gis,,,36.296294,-119.774927,pdfs/WCR2025-004160.pdf,,South Fork Kings GSA
WCR2025-004161,Kings,488 BUSH ST,19S,20E,11,M19S20E11,,Other,1735776000000,36.296471,-119.774899,gis,,,36.296471,-119.774899,pdfs/WCR2025-004161.pdf,,South Fork Kings GSA
WCR2025-004162,Kings,488 BUSH ST,19S,20E,11,M19S20E11,,Other,1735776000000,36.296776,-119.774996,gis,,,36.296776,-119.774996,pdfs/WCR2025-004162.pdf,,South Fork Kings GSA
WCR2025-003152,Kings,7740 20TH AVE,18S,20E,17,M18S20E17,60.0,Water Supply Domestic,1738713600000,36.362704,-119.81747458333334,ocr,36.362704,-119.81747458333334,36.362704,-119.8174746,pdfs/WCR2025-003152.pdf,,South Fork Kings GSA
WCR2025-003005,Kings,,18S,20E,28,M18S20E28,40.0,Water Supply Domestic,1734480000000,36.338472,-119.807049,gis,,,36.338472,-119.807049,pdfs/WCR2025-003005.pdf,,South Fork Kings GSA
WCR2025-003010,Kings,,18S,20E,22,M18S20E22,,Water Supply Irrigation - Agriculture,1729036800000,36.351076,-119.785923,gis,,,36.351076,-119.785923,pdfs/WCR2025-003010.pdf,,South Fork Kings GSA
